Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
BAX,Baxter International,Health Care Equipment,23.8,,0.0017,-1.88,15.73,30.0,12304504832.0,1884000000.0,1.0727555,1.9826725,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
BDX,Becton Dickinson,Health Care Equipment,177.85,30.769896,0.0236,5.78,127.58648,193.07,48443998208.0,6120999936.0,2.1545987,1.9841137,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
BBY,Best Buy,Computer & Electronics Retail,90.8,15.108153,0.0436,6.01,55.1,91.37,19043274752.0,2617999872.0,0.45125172,6.0021152,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
TECH,Bio-Techne,Life Sciences Tools & Services,72.12,62.172417,0.0044,1.16,43.2,72.62,11309731840.0,334105984.0,9.308123,5.3398495,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TECH
BIIB,Biogen,Biotechnology,217.15,38.63879,,5.62,135.39,225.8,32084781056.0,3359200000.0,3.1995513,1.7016691,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
BLK,BlackRock,Asset Management & Custody Banks,1079.65,25.841312,0.0216,41.78,917.39,1219.94,175417425920.0,11116000256.0,6.425782,2.904596,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
BX,Blackstone Inc.,Asset Management & Custody Banks,128.51,28.749441,0.0407,4.47,101.73,190.09,153607716864.0,,9.920859,11.403851,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BX
BK,BNY Mellon,Asset Management & Custody Banks,,,,,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK
BA,Boeing,Aerospace & Defense,210.45,75.70144,,2.78,176.77,254.35,166211829760.0,-2900000000.0,1.7683051,27.274494,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines",173.92,19.302996,0.0096,9.01,150.14,224.9956,134766862336.0,10412999680.0,4.7720284,-12.225503,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKNG
BWA,BorgWarner,Automotive Parts & Equipment,66.65,32.83251,0.0102,2.03,40.5,78.82,13574363136.0,2036000000.0,0.9463444,2.4149425,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
BSX,Boston Scientific,Health Care Equipment,42.98,17.40081,,2.47,42.2,105.65,62287884288.0,5711000064.0,2.9666548,2.4941967,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
BMY,Bristol Myers Squibb,Pharmaceuticals,63.64,14.017621,0.0396,4.54,42.52,68.64,129998356480.0,18929999872.0,2.642995,5.8251715,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
AVGO,Broadcom,Semiconductors,361.99,46.231163,0.0072,7.83,289.96,495.0,1728006324224.0,52259999744.0,19.39314,17.335026,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,167.74,17.491137,0.0259,9.59,133.83,253.36,19400523776.0,1808999936.0,2.594763,6.7319503,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BR
BRO,Brown & Brown,Insurance Brokers,66.19,21.146965,0.01,3.13,53.81,96.55,22147860480.0,2892000000.0,3.3240073,1.7359035,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRO
BLDR,Builders FirstSource,Building Products,60.37,65.61956,,0.92,58.13,142.5,6495598080.0,1022512000.0,0.4495627,1.6217597,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLDR
BG,Bunge Global,Agricultural Products & Services,122.41,26.381468,0.0231,4.64,76.01,134.87,23517302784.0,3126000128.0,0.25612676,1.4740734,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BG
CHRW,C.H. Robinson,Air Freight & Logistics,152.78,29.15649,0.0165,5.24,123.64,210.33,17852534784.0,932641024.0,1.0503646,10.992949,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
